Link,Title
http://www.aberdeencity.gov.uk/,Aberdeen City Council
http://www.aberdeenshire.gov.uk/,Aberdeenshire Council
http://www.adur-worthing.gov.uk/,Adur District Council
http://www.allerdale.gov.uk/,Allerdale Borough Council
http://www.ambervalley.gov.uk,Amber Valley Borough Council
http://www.angus.gov.uk,Angus Council
http://www.antrim.gov.uk/,Antrim Borough Council
http://www.ards-council.gov.uk/,Ards Borough Council
http://www.argyll-bute.gov.uk,Argyll and Bute Council
http://www.armagh.gov.uk,Armagh City and District Council
http://www.arun.gov.uk/,Arun District Council
http://www.ashfield-dc.gov.uk/,Ashfield District Council
http://www.ashford.gov.uk/,Ashford Borough Council
http://www.aylesburyvaledc.gov.uk/,Aylesbury Vale District Council
http://www.babergh.gov.uk/,Babergh District Council
http://www.ballymena.gov.uk/,Ballymena Borough Council
http://www.ballymoney.gov.uk/,Ballymoney Borough Council
http://www.banbridge.com/,Banbridge District Council
http://www.barking-dagenham.gov.uk,London Borough of Barking and Dagenham Council
http://www.barnet.gov.uk/,London Borough of Barnet Council
http://www.barnsley.gov.uk,Barnsley Metropolitan Borough Council
http://www.barrowbc.gov.uk/,Barrow in Furness Borough Council
http://www.basildon.gov.uk,Basildon Borough Council
http://www.basingstoke.gov.uk,Basingstoke and Deane Borough Council
http://www.bassetlaw.gov.uk/,Bassetlaw District Council
http://www.bathnes.gov.uk,Bath and North East Somerset Council
http://www.bedford.gov.uk/,Bedford Borough Council
http://www.belfastcity.gov.uk,Belfast City Council
http://www.bexley.gov.uk,London Borough of Bexley Council
http://www.birmingham.gov.uk,Birmingham City Council
http://www.blaby.gov.uk,Blaby District Council
http://www.blackburn.gov.uk/,Blackburn with Darwen Borough Council
http://www.blackpool.gov.uk/,Blackpool Council
http://www.blaenau-gwent.gov.uk/,Blaenau Gwent County Borough Council
http://www.bolsover.gov.uk,Bolsover District Council
http://www.bolton.gov.uk,Bolton Metropolitan Borough Council
http://www.boston.gov.uk,Boston Borough Council
http://www.bournemouth.gov.uk,Bournemouth Borough Council
http://www.bracknell-forest.gov.uk,Bracknell Forest Borough Council
http://www.bradford.gov.uk,City of Bradford Metropolitan District Council
http://www.braintree.gov.uk,Braintree District Council
http://www.breckland.gov.uk/,Breckland District Council
http://www.brent.gov.uk,London Borough of Brent Council
http://www.brentwood-council.gov.uk,Brentwood Borough Council
http://www.bridgend.gov.uk,Bridgend County Borough Council
http://www.brighton-hove.gov.uk,Brighton & Hove City Council
http://www.bristol.gov.uk,Bristol City Council
http://www.broadland.gov.uk,Broadland District Council
http://www.bromley.gov.uk,London Borough of Bromley Council
http://www.bromsgrove.gov.uk,Bromsgrove District Council
http://www.broxbourne.gov.uk/,Broxbourne Borough Council
http://www.broxtowe.gov.uk/,Broxtowe Borough Council
http://www.buckscc.gov.uk/,Buckinghamshire County Council
http://www.burnley.gov.uk/,Burnley Borough Council
http://www.bury.gov.uk,Bury Metropolitan Borough Council
http://www.caerphilly.gov.uk,Caerphilly County Borough Council
http://www.calderdale.gov.uk,Calderdale Metropolitan Borough Council
http://www.cambridge.gov.uk,Cambridge City Council
http://www.cambridgeshire.gov.uk/,Cambridgeshire County Council
http://www.camden.gov.uk,London Borough of Camden Council
http://www.cannockchasedc.gov.uk/,Cannock Chase District Council
http://www.canterbury.gov.uk,Canterbury City Council
http://www.cardiff.gov.uk,Cardiff Council
http://www.carlisle.gov.uk,Carlisle City Council
http://www.carmarthenshire.gov.uk,Carmarthenshire County Council
http://www.carrickfergus.org,Carrickfergus Borough Council
http://www.castlepoint.gov.uk,Castle Point Borough Council
http://www.castlereagh.gov.uk,Castlereagh Borough Council
http://www.centralbedfordshire.gov.uk/,Central Bedfordshire Council
http://www.ceredigion.gov.uk,Ceredigion County Council
http://www.charnwood.gov.uk,Charnwood Borough Council
http://www.chelmsford.gov.uk,Chelmsford Borough Council
http://www.cheltenham.gov.uk,Cheltenham Borough Council
http://www.cherwell.gov.uk,Cherwell District Council
http://www.cheshireeast.gov.uk,Cheshire East Council
http://www.cheshirewestandchester.gov.uk,Cheshire West and Chester Council
http://www.chesterfield.gov.uk,Chesterfield Borough Council
http://www.chichester.gov.uk,Chichester District Council
http://www.chiltern.gov.uk,Chiltern District Council
http://www.chorley.gov.uk,Chorley Borough Council
http://www.dorsetforyou.com/Christchurch,Christchurch Borough Council
http://www.clacksweb.org.uk,Clackmannanshire Council
http://www.colchester.gov.uk,Colchester Borough Council
http://www.colerainebc.gov.uk/,Coleraine Borough Council
http://www.conwy.gov.uk/,Conwy County Borough Council
http://www.cookstown.gov.uk/,Cookstown District Council
http://www.copelandbc.gov.uk/,Copeland Borough Council
http://www.corby.gov.uk,Corby Borough Council
http://www.cornwall.gov.uk,Cornwall Council
http://www.cotswold.gov.uk,Cotswold District Council
http://www.coventry.gov.uk,Coventry City Council
http://www.craigavon.gov.uk,Craigavon Borough Council
http://www.cravendc.gov.uk,Craven District Council
http://www.crawley.gov.uk,Crawley Borough Council
http://www.croydon.gov.uk,London Borough of Croydon Council
http://www.cumbriacc.gov.uk,Cumbria County Council
http://www.dacorum.gov.uk,Dacorum Borough Council
http://www.darlington.gov.uk,Darlington Borough Council
http://www.dartford.gov.uk,Dartford Borough Council
http://www.daventrydc.gov.uk,Daventry District Council
http://www.denbighshire.gov.uk,Denbighshire County Council
http://www.derby.gov.uk,Derby City Council
http://www.derbyshire.gov.uk,Derbyshire County Council
http://www.derbyshiredales.gov.uk,Derbyshire Dales District Council
http://www.derrycity.gov.uk,Derry City Council
http://www.devon.gov.uk,Devon County Council
http://www.doncaster.gov.uk,Doncaster Council
http://www.dorsetforyou.com/county,Dorset County Council
http://www.dover.gov.uk,Dover District Council
http://www.downdc.gov.uk,Down District Council
http://www.dudley.gov.uk,Dudley Metropolitan Borough Council
http://www.dumgal.gov.uk,Dumfries and Galloway Council
http://www.dundeecity.gov.uk,Dundee City Council
http://www.dungannon.gov.uk/,Dungannon and South Tyrone Borough Council
http://www.durham.gov.uk,Durham County Council
http://www.ealing.gov.uk,London Borough of Ealing Council
http://www.east-ayrshire.gov.uk,East Ayrshire Council
http://www.eastcambs.gov.uk,East Cambridgeshire District Council
http://www.eastdevon.gov.uk,East Devon District Council
http://www.dorsetforyou.com/east,East Dorset District Council
http://www.eastdunbarton.gov.uk,East Dunbartonshire Council
http://www.easthants.gov.uk,East Hampshire District Council
http://www.eastherts.gov.uk,East Hertfordshire District Council
http://www.e-lindsey.gov.uk,East Lindsey District Council
http://www.eastlothian.gov.uk,East Lothian Council
http://www.east-northamptonshire.gov.uk,East Northamptonshire District Council
http://www.eastrenfrewshire.gov.uk,East Renfrewshire Council
http://www.eastriding.gov.uk,East Riding of Yorkshire Council
http://www.eaststaffsbc.gov.uk/,East Staffordshire Borough Council
http://www.eastsussex.gov.uk,East Sussex County Council
http://www.eastbourne.gov.uk,Eastbourne Borough Council
http://www.eastleigh.gov.uk,Eastleigh Borough Council
http://www.eden.gov.uk/,Eden District Council
http://www.edinburgh.gov.uk,Edinburgh City Council
http://www.elmbridge.gov.uk,Elmbridge Borough Council
http://www.enfield.gov.uk/,London Borough of Enfield Council
http://www.eppingforestdc.gov.uk,Epping Forest District Council
http://www.epsom-ewell.gov.uk,Epsom and Ewell Borough Council
http://www.erewash.gov.uk,Erewash Borough Council
http://www.essexcc.gov.uk,Essex County Council
http://www.exeter.gov.uk,Exeter City Council
http://www.falkirk.gov.uk,Falkirk Council
http://www.fareham.gov.uk,Fareham Borough Council
http://www.fenland.gov.uk,Fenland District Council
http://www.fermanagh.gov.uk,Fermanagh District Council
http://www.fifedirect.org.uk,Fife Council
http://www.flintshire.gov.uk,Flintshire County Council
http://www.forest-heath.gov.uk/,Forest Heath District Council
http://www.fdean.gov.uk,Forest of Dean District Council
http://www.fylde.gov.uk,Fylde Borough Council
http://www.gateshead.gov.uk/,Gateshead Metropolitan Borough Council
http://www.gedling.gov.uk,Gedling Borough Council
http://www.glasgow.gov.uk,Glasgow City Council
http://www.gloucester.gov.uk,Gloucester City Council
http://www.gloucestershire.gov.uk,Gloucestershire County Council
http://www.gosport.gov.uk,Gosport Borough Council
http://www.gravesham.gov.uk,Gravesham Borough Council
http://www.great-yarmouth.gov.uk,Great Yarmouth Borough Council
http://www.greenwich.gov.uk,London Borough of Greenwich Council
http://www.guildford.gov.uk,Guildford Borough Council
http://www.gwynedd.gov.uk,Gwynedd County Council
http://www.hackney.gov.uk/,London Borough of Hackney Council
http://www.halton.gov.uk/,Halton Borough Council
http://www.hambleton.gov.uk/,Hambleton District Council
http://www.lbhf.gov.uk/,London Borough of Hammersmith and Fulham Council
http://www.hants.gov.uk,Hampshire County Council
http://www.harborough.gov.uk,Harborough District Council
http://www.haringey.gov.uk/,London Borough of Haringey Council
http://www.harlow.gov.uk,Harlow District Council
http://www.harrogate.gov.uk/,Harrogate Borough Council
http://www.harrow.gov.uk,London Borough of Harrow Council
http://www.hart.gov.uk,Hart District Council
http://www.hartlepool.gov.uk/,Hartlepool Borough Council
http://www.hastings.gov.uk,Hastings Borough Council
http://www.havant.gov.uk,Havant Borough Council
http://www.havering.gov.uk,London Borough of Havering Council
http://www.herefordshire.gov.uk,Herefordshire Council
http://www.hertsdirect.org/,Hertfordshire County Council
http://www.hertsmere.gov.uk/,Hertsmere Borough Council
http://www.highpeak.gov.uk,High Peak Borough Council
http://www.highland.gov.uk,Highland Council
http://www.hillingdon.gov.uk/,London Borough of Hillingdon Council
http://www.hinckleyandbosworthonline.org.uk,Hinckley and Bosworth Borough Council
http://www.horsham.gov.uk/,Horsham District Council
http://www.hounslow.gov.uk,London Borough of Hounslow Council
http://www.huntsdc.gov.uk,Huntingdonshire District Council
http://www.hyndburnbc.gov.uk,Hyndburn Borough Council
http://www.inverclyde.gov.uk,Inverclyde Council
http://www.ipswich.gov.uk,Ipswich Borough Council
http://www.anglesey.gov.uk,Isle of Anglesey County Council
http://www.scilly.gov.uk,Council of the Isles of Scilly
http://www.iwight.com,Isle of Wight Council
http://www.islington.gov.uk/,London Borough of Islington Council
http://www.rbkc.gov.uk/,Royal Borough of Kensington and Chelsea Council
http://www.kent.gov.uk,Kent County Council
http://www.kettering.gov.uk,Kettering Borough Council
http://www.west-norfolk.gov.uk,King's Lynn and West Norfolk Borough Council
http://www.hullcc.gov.uk,Kingston upon Hull City Council
http://www.kingston.gov.uk/,Royal Borough of Kingston upon Thames Council
http://www.kirklees.gov.uk/,Kirklees Council
http://www.knowsley.gov.uk/,Knowsley Metropolitan Borough Council
http://www.lambeth.gov.uk,London Borough of Lambeth Council
http://www.lancashire.gov.uk/,Lancashire County Council
http://www.lancaster.gov.uk,Lancaster City Council
http://www.larne.gov.uk/,Larne Borough Council
http://www.leeds.gov.uk,Leeds City Council
http://www.leicester.gov.uk,Leicester City Council
http://www.leicestershire.gov.uk/,Leicestershire County Council
http://www.lewes.gov.uk,Lewes District Council
http://www.lewisham.gov.uk/,London Borough of Lewisham Council
http://www.lichfielddc.gov.uk,Lichfield District Council
http://www.limavady.gov.uk,Limavady Borough Council
http://www.lincoln.gov.uk,City of Lincoln Council
http://www.lincolnshire.gov.uk/,Lincolnshire County Council
http://www.lisburncity.gov.uk,Lisburn City Council
http://www.liverpool.gov.uk,Liverpool City Council
http://www.cityoflondon.gov.uk/Corporation,Corporation of London
http://www.london.gov.uk,Greater London Authority
http://www.luton.gov.uk,Luton Borough Council
http://www.magherafelt.gov.uk,Magherafelt District Council
http://www.maidstone.gov.uk/,Maidstone Borough Council
http://www.maldon.gov.uk,Maldon District Council
http://malvern.whub.org.uk,Malvern Hills District Council
http://www.manchester.gov.uk,Manchester City Council
http://www.mansfield.gov.uk,Mansfield District Council
http://www.medway.gov.uk,Medway Council
http://www.melton.gov.uk,Melton Borough Council
http://www.mendip.gov.uk,Mendip District Council
http://www.merthyr.gov.uk,Merthyr Tydfil County Borough Council
http://www.merton.gov.uk/,London Borough of Merton Council
http://www.middevon.gov.uk,Mid Devon District Council
http://www.midsuffolk.gov.uk,Mid Suffolk District Council
http://www.midsussex.gov.uk,Mid Sussex District Council
http://www.middlesbrough.gov.uk,Middlesbrough Council
http://www.midlothian.gov.uk,Midlothian Council
http://www.miltonkeynes.gov.uk,Milton Keynes Council
http://www.mole-valley.gov.uk/,Mole Valley District Council
http://www.monmouthshire.gov.uk,Monmouthshire County Council
http://www.moray.gov.uk,Moray Council
http://www.moyle-council.org,Moyle District Council
http://www.neath-porttalbot.gov.uk,Neath Port Talbot County Borough Council
http://www.nfdc.gov.uk,New Forest District Council
http://www.newark-sherwooddc.gov.uk,Newark and Sherwood District Council
http://www.newcastle-staffs.gov.uk,Newcastle under Lyme Borough Council
http://www.newcastle.gov.uk,Newcastle upon Tyne City Council
http://www.newham.gov.uk,London Borough of Newham Council
http://www.newport.gov.uk,Newport City Council
http://www.newryandmournedc.gov.uk,Newry and Mourne District Council
http://www.newtownabbey.gov.uk,Newtownabbey Borough Council
http://www.norfolk.gov.uk/,Norfolk County Council
http://www.north-ayrshire.gov.uk,North Ayrshire Council
http://www.northdevon.gov.uk,North Devon Council
http://www.dorsetforyou.com/northdorset,North Dorset District Council
http://www.northdown.gov.uk,North Down Borough Council
http://www.ne-derbyshire.gov.uk,North East Derbyshire District Council
http://www.nelincs.gov.uk,North East Lincolnshire Council
http://www.north-herts.gov.uk,North Hertfordshire District Council
http://www.n-kesteven.gov.uk,North Kesteven District Council
http://www.northlanarkshire.gov.uk/,North Lanarkshire Council
http://www.northlincs.gov.uk,North Lincolnshire Council
http://www.northnorfolk.org/,North Norfolk District Council
http://www.n-somerset.gov.uk,North Somerset District Council
http://www.northtyneside.gov.uk/,North Tyneside Metropolitan Borough Council
http://www.northwarks.gov.uk,North Warwickshire Borough Council
http://www.nwleics.gov.uk,North West Leicestershire District Council
http://www.northyorks.gov.uk,North Yorkshire County Council
http://www.northampton.gov.uk,Northampton Borough Council
http://www.northamptonshire.gov.uk,Northamptonshire County Council
http://www.northumberland.gov.uk,Northumberland County Council
http://www.norwich.gov.uk,Norwich City Council
http://www.nottinghamcity.gov.uk,Nottingham City Council
http://www.nottinghamshire.gov.uk,Nottinghamshire County Council
http://www.nuneatonandbedworth.gov.uk,Nuneaton and Bedworth Borough Council
http://www.oadby-wigston.gov.uk,Oadby and Wigston Borough Council
http://www.oldham.gov.uk/,Oldham Metropolitan Borough Council
http://www.omagh.gov.uk,Omagh District Council
http://www.orkney.gov.uk,Orkney Islands Council
http://www.oxford.gov.uk,Oxford City Council
http://www.oxfordshire.gov.uk/,Oxfordshire County Council
http://www.pembrokeshire.gov.uk,Pembrokeshire County Council
http://www.pendle.gov.uk/,Pendle Borough Council
http://www.pkc.gov.uk,Perth and Kinross Council
http://www.peterborough.gov.uk,Peterborough City Council
http://www.plymouth.gov.uk,Plymouth City Council
http://www.boroughofpoole.com,Borough of Poole Council
http://www.portsmouth.gov.uk,Portsmouth City Council
http://www.powys.gov.uk,Powys County Council
http://www.preston.gov.uk,Preston City Council
http://www.dorsetforyou.com/purbeck,Purbeck District Council
http://www.reading.gov.uk/,Reading Borough Council
http://www.redbridge.gov.uk/,London Borough of Redbridge Council
http://www.redcar-cleveland.gov.uk/,Redcar and Cleveland Borough Council
http://www.redditchbc.gov.uk,Redditch Borough Council
http://www.reigate-banstead.gov.uk/,Reigate and Banstead Borough Council
http://www.renfrewshire.gov.uk,Renfrewshire Council
http://www.rhondda-cynon-taf.gov.uk,Rhondda Cynon Taf County Borough Council
http://www.ribblevalley.gov.uk,Ribble Valley Borough Council
http://www.richmond.gov.uk/,London Borough of Richmond upon Thames Council
http://www.richmondshire.gov.uk,Richmondshire District Council
http://www.rochdale.gov.uk,Rochdale Metropolitan Borough Council
http://www.rochford.gov.uk,Rochford District Council
http://www.rossendale.gov.uk/,Rossendale Borough Council
http://www.rother.gov.uk,Rother District Council
http://www.rotherham.gov.uk,Rotherham Metropolitan Borough Council
http://www.rugby.gov.uk,Rugby Borough Council
http://www.runnymede.gov.uk,Runnymede Borough Council
http://www.rushcliffe.gov.uk,Rushcliffe Borough Council
http://www.rushmoor.gov.uk,Rushmoor Borough Council
http://www.rutland.gov.uk,Rutland County Council
http://www.ryedale.gov.uk,Ryedale District Council
http://www.salford.gov.uk,Salford City Council
http://www.sandwell.gov.uk,Sandwell Metropolitan Borough Council
http://www.scarborough.gov.uk,Scarborough Borough Council
http://www.scotborders.gov.uk,Scottish Borders Council
http://www.sedgemoor.gov.uk,Sedgemoor District Council
http://www.sefton.gov.uk,Sefton Council
http://www.selby.gov.uk,Selby District Council
http://www.sevenoaks.gov.uk,Sevenoaks District Council
http://www.sheffield.gov.uk,Sheffield City Council
http://www.shepway.gov.uk,Shepway District Council
http://www.shetland.gov.uk,Shetland Islands Council
http://www.shropshire.gov.uk,Shropshire Council
http://www.slough.gov.uk,Slough Borough Council
http://www.solihull.gov.uk,Solihull Metropolitan Borough Council
http://www.somerset.gov.uk,Somerset County Council
http://www.south-ayrshire.gov.uk,South Ayrshire Council
http://www.southbucks.gov.uk,South Bucks District Council
http://www.scambs.gov.uk,South Cambridgeshire District Council
http://www.south-derbys.gov.uk,South Derbyshire District Council
http://www.southglos.gov.uk,South Gloucestershire Council
http://www.southhams.gov.uk,South Hams District Council
http://www.sholland.gov.uk,South Holland District Council
http://www.southkesteven.gov.uk,South Kesteven District Council
http://www.southlakeland.gov.uk,South Lakeland District Council
http://www.southlanarkshire.gov.uk,South Lanarkshire Council
http://www.south-norfolk.gov.uk,South Norfolk Council
http://www.southnorthants.gov.uk,South Northamptonshire Council
http://www.southoxon.gov.uk,South Oxfordshire District Council
http://www.southribble.gov.uk/,South Ribble Borough Council
http://www.southsomerset.gov.uk,South Somerset District Council
http://www.sstaffs.gov.uk,South Staffordshire Council
http://www.southtyneside.info/,South Tyneside Metropolitan Borough Council
http://www.southampton.gov.uk,Southampton City Council
http://www.southend.gov.uk,Southend on Sea Borough Council
http://www.southwark.gov.uk,London Borough of Southwark Council
http://www.spelthorne.gov.uk,Spelthorne Borough Council
http://www.stalbans.gov.uk,St Albans District Council
http://www.stedmundsbury.gov.uk,St Edmundsbury Borough Council
http://www.sthelens.gov.uk/,St Helens Metropolitan Borough Council
http://www.staffordbc.gov.uk,Stafford Borough Council
http://www.staffordshire.gov.uk,Staffordshire County Council
http://www.staffsmoorlands.gov.uk,Staffordshire Moorlands District Council
http://www.stevenage.gov.uk,Stevenage Borough Council
http://www.stirling.gov.uk,Stirling Council
http://www.stockport.gov.uk,Stockport Metropolitan Borough Council
http://www.stockton.gov.uk,Stockton-on-Tees Borough Council
http://www.stoke.gov.uk,Stoke on Trent City Council
http://www.strabanedc.org.uk,Strabane District Council
http://www.stratford.gov.uk,Stratford on Avon District Council
http://www.stroud.gov.uk,Stroud District Council
http://www.suffolkcoastal.gov.uk,Suffolk Coastal District Council
http://www.suffolkcc.gov.uk,Suffolk County Council
http://www.sunderland.gov.uk,Sunderland City Council
http://www.surreycc.gov.uk,Surrey County Council
http://www.surreyheath.gov.uk,Surrey Heath Borough Council
http://www.sutton.gov.uk,London Borough of Sutton Council
http://www.swale.gov.uk,Swale Borough Council
http://www.swansea.gov.uk,City and County of Swansea
http://www.swindon.gov.uk,Swindon Borough Council
http://www.tameside.gov.uk,Tameside Metropolitan Borough Council
http://www.tamworth.gov.uk,Tamworth Borough Council
http://www.tandridge.gov.uk,Tandridge District Council
http://www.tauntondeane.gov.uk,Taunton Deane Borough Council
http://www.teignbridge.gov.uk,Teignbridge District Council
http://www.telford.gov.uk,Telford & Wrekin Council
http://www.tendringdc.gov.uk,Tendring District Council
http://www.testvalley.gov.uk,Test Valley Borough Council
http://www.tewkesburybc.gov.uk,Tewkesbury Borough Council
http://www.thanet.gov.uk,Thanet District Council
http://www.threerivers.gov.uk/,Three Rivers District Council
http://www.thurrock.gov.uk,Thurrock Council
http://www.tmbc.gov.uk,Tonbridge and Malling Borough Council
http://www.torbay.gov.uk,Torbay Council
http://www.torfaen.gov.uk,Torfaen County Borough Council
http://www.torridge.gov.uk,Torridge District Council
http://www.towerhamlets.gov.uk,London Borough of Tower Hamlets Council
http://www.trafford.gov.uk,Trafford Metropolitan Borough Council
http://www.tunbridgewells.gov.uk,Tunbridge Wells Borough Council
http://www.uttlesford.gov.uk,Uttlesford District Council
http://www.valeofglamorgan.gov.uk,Vale of Glamorgan Council
http://www.whitehorsedc.gov.uk,Vale of White Horse District Council
http://www.wakefield.gov.uk,Wakefield Council
http://www.walsall.gov.uk/,Walsall Metropolitan Borough Council
http://www.walthamforest.gov.uk/,London Borough of Waltham Forest Council
http://www.wandsworth.gov.uk/,London Borough of Wandsworth Council
http://www.warrington.gov.uk/,Warrington Borough Council
http://www.warwickdc.gov.uk,Warwick District Council
http://www.warwickshire.gov.uk/,Warwickshire County Council
http://www.watford.gov.uk/,Watford Borough Council
http://www.waveney.gov.uk,Waveney District Council
http://www.waverley.gov.uk/,Waverley Borough Council
http://www.wealden.gov.uk,Wealden District Council
http://www.wellingborough.gov.uk/,Wellingborough Borough Council
http://www.welhat.gov.uk,Welwyn Hatfield Borough Council
http://www.westberks.gov.uk,West Berkshire Council
http://www.westdevon.gov.uk,West Devon Borough Council
http://www.dorsetforyou.com/west,West Dorset District Council
http://www.west-dunbarton.gov.uk/,West Dunbartonshire Council
http://www.westlancsdc.gov.uk/,West Lancashire Borough Council
http://www.west-lindsey.gov.uk/,West Lindsey District Council
http://www.westlothian.gov.uk/,West Lothian Council
http://www.westoxon.gov.uk/,West Oxfordshire District Council
http://www.westsomersetonline.gov.uk,West Somerset District Council
http://www.westsussex.gov.uk/,West Sussex County Council
http://www.cne-siar.gov.uk,Comhairle nan Eilean Siar
http://www.westminster.gov.uk/,Westminster City Council
http://www.dorsetforyou.com/weymouthandportland,Weymouth and Portland Borough Council
http://www.wiganmbc.gov.uk/,Wigan Metropolitan Borough Council
http://www.wiltshire.gov.uk,Wiltshire Council
http://www.winchester.gov.uk,Winchester City Council
http://www.rbwm.gov.uk/,Windsor and Maidenhead Royal Borough Council
http://www.wirral.gov.uk/,Wirral Metropolitan Borough Council
http://www.woking.gov.uk/,Woking Borough Council
http://www.wokingham.gov.uk,Wokingham Borough Council
http://www.wolverhampton.gov.uk,Wolverhampton City Council
http://www.worcester.gov.uk,Worcester City Council
http://www.worcestershire.gov.uk/,Worcestershire County Council
http://www.adur-worthing.gov.uk/,Worthing Borough Council
http://www.wrexham.gov.uk/,Wrexham County Borough Council
http://wychavon.whub.org.uk,Wychavon District Council
http://www.wycombe.gov.uk,Wycombe District Council
http://www.wyrebc.gov.uk/,Wyre Borough Council
http://www.wyreforestdc.gov.uk,Wyre Forest District Council
http://www.york.gov.uk,York City Council
